word,frequency
excepting,3
value,8
probability,10
influence,14
evident,18
whenever,22
preference,9
begun,1
entertain,5
united,6
composure,16
uniform,1
cheerfulness,6
guard,7
suspicions,4
impertinent,6
pleasant”,1
able,53
impose,2
disadvantage,5
guarded,9
conceals,1
opportunity,28
fixing,2
dark,2
gratitude,20
attachment,27
safe,5
begin,12
freelya,1
encouragement,9
nine,2
feels,4
likes,8
undoubtedly,6
on”,2
allow,31
perceive,8
simpleton,4
discover,8
too”,1
“remember,2
do”,14
partial,10
endeavor,1
conceal,12
sees,6
tolerably,14
hours,27
together,62
parties,11
conversing,3
secure,12
leisure,12
chooses”,1
“your,21
plan,13
one”,3
“where,2
adopt,3
reasonableness,1
dined,8
character”,5
“not,12
represent,3
appetite,2
evenings,4
togetherand,1
deal”,2
enabled,2
ascertain,2
vingtun,1
commerce,1
leading,5
unfolded”,1
“well”,3
success,17
tomorrow,11
happiness,69
studying,4
twelvemonth,6
marriage,64
dispositions,1
similar,5
beforehand,1
advance,3
felicity,16
continue,9
grow,4
unlike,4
vexation,9
defects,5
sound,8
yourself”,6
occupied,6
suspecting,2
becoming,3
scarcely,45
criticise,1
sooner,13
clear,8
face,27
rendered,11
discovery,7
succeeded,7
mortifying,6
detected,2
symmetry,1
forced,20
acknowledge,7
light,17
asserting,1
fashionable,1
caught,11
unaware,1
attended,24
notice,20
lucas’s,4
assembled,6
forster”,2
answer”,2
satirical,1
approaching,12
seeming,3
intention,16
defied,1
provoking,3
teasing,6
forster,36
meryton”,5
energy,5
energetic”,1
severe,8
turn,24
teased”,1
instrument,11
follows”,1
strange,8
friendalways,1
wanting,7
sing,4
musical,1
invaluable,3
performers”,1
persevering,1
“very,11
must”,1
gravely,3
glancing,4
“there,17
saying,35
familiar,3
with‘keep,1
breath,2
cool,3
porridge’and,1
mine,12
swell,1
song”,1
performance,5
song,4
eagerly,14
plain,10
worked,4
accomplishments,4
impatient,8
application,12
pedantic,1
higher,4
excellence,3
concerto,1
scotch,2
irish,1
airs,1
request,12
joined,28
stood,13
silent,25
indignation,8
mode,5
passing,11
exclusion,1
engrossed,5
amusement,11
refinements,1
polished,2
societies”,1
vogue,1
societies,1
savage,1
performs,1
delightfully”,1
pause,18
group,2
adept,1
science,1
sir”,11
inconsiderable,1
james’s”,1
“never,1
compliment,25
pay,10
avoid,18
conclude”,1
bowed,3
society,30
lucas”,2
paused,3
companion,16
moving,6
notion,8
gallant,1
desirable,11
refuse,9
surprised,33
receive,28
instantly,31
discomposure,3
“indeed,13
entreat,6
moved,9
partner”,2
grave,9
requested,2
shake,2
excel,2
cruel,3
deny,8
dislikes,1
oblige,6
hour”,1
politeness”,1
smiling,10
considering,13
inducement,5
complaisance,4
archly,2
resistance,2
complacency,4
accosted,2
reverie”,1
mannerin,1
annoyed,1
insipidity,1
noisethe,1
nothingness,1
selfimportance,4
strictures,1
conjecture,6
totally,8
wrong,14
agreeably,3
meditating,3
pair,2
bestow”,1
desired,6
inspiring,1
intrepidity,1
repeated,21
favourite,21
pray,21
joy”,2
lady’s,8
imagination,4
rapid,3
jumps,1
matrimony,6
wishing,14
“nay,1
motherinlaw,2
indifference,16
flowed,1
along,10
unfortunately,3
entailed,5
default,1
heirs,1
male,1
relation,11
mother’s,25
ample,2
supply,7
deficiency,2
attorney,3
philips,27
clerk,1
convenient,5
distance,14
usually,8
week,27
duty,15
aunt,75
milliner’s,1
shop,5
frequent,12
vacant,5
sisters’,4
offered,10
amuse,5
furnish,4
bare,1
contrived,3
supplied,2
recent,5
militia,6
remain,10
winter,14
headquarters,1
visits,5
productive,1
officers’,2
connections,18
lodgings,5
length,32
visited,4
opened,18
source,7
unknown,8
animation,4
worthless,2
opposed,5
regimentals,2
ensign,1
effusions,2
coolly,4
“from,6
collect,2
silliest,1
suspected,9
convinced”,1
captain,4
carter,4
astonished,13
ready,20
slightingly,1
anybody’s,2
however”,1
happens,3
clever”,1
“this,23
coincided,1
differ,1
foolish”,2
red,3
welland,2
smart,2
nay,5
william’s,6
regimentals”,1
“mamma”,1
watson’s,1
clarke’s,1
library”,3
prevented,23
replying,3
footman,1
servant,15
sparkled,2
calling,14
“well,17
haste,8
aloud,10
nind,3
compassionate,2
dine,16
today,6
louisa,4
danger,19
hating,1
lives,4
day’s,4
têteàtête,4
quarrel,5
receipt,2
“caroline,2
officers”,1
that”,2
“dining,1
unlucky”,2
“can,8
carriage”,2
horseback,2
rain,4
night”,1
scheme”,1
home”,4
hursts,1
horses,7
theirs”,1
coach”,1
spare,6
wanted,23
farm,2
they”,1
cheerful,8
prognostics,2
oftener,3
today”,3
answered”,1
extort,1
answered,33
rained,1
uneasy,7
intermission,3
indeed”,12
aware,13
contrivance,4
breakfast,19
dearest,16
lizzie,2
unwell,2
imputed,4
getting,7
wet,2
yesterday,12
returning,11
insist,8
jonestherefore,1
alarmed,8
meand,1
sore,1
throat,1
headache,2
“yours,4
etc”,2
dangerous,1
fit,4
illnessif,1
dieit,1
comfort,31
pursuit,6
orders”,2
dying,3
die,3
trifling,4
colds,1
stays,1
horsewoman,1
alternative,3
resolution,19
silly”,1
“as,15
dirt,2
there”,4
janewhich,1
want”,1
horses”,1
motive,18
miles,15
dinner”,2
activity,4
benevolence”,1
guided,2
exertion,9
proportion,4
required”,1
set,30
haste”,1
goes”,1
parted,13
repaired,4
wives,1
crossing,2
field,3
pace,1
jumping,1
stiles,1
springing,2
puddles,1
finding,13
weary,2
ancles,2
dirty,4
glowing,1
warmth,8
parlour,7
appearance,32
created,4
weather,6
incredible,3
held,5
politely,3
politenessthere,1
brilliancy,2
occasion’s,1
justifying,1
coming,57
inquiries,23
favourably,2
slept,1
feverish,2
withheld,4
alarm,13
inconvenience,5
expressing,8
longed,9
beside,1
expressions,12
treated,7
silently,3
solicitude,8
showed,8
examined,4
patient,1
supposed,26
endeavour,20
advised,3
bed,5
draughts,2
readily,17
symptoms,2
increased,11
ached,1
quit,10
absent,4
elsewhere,3
clock,1
unwillingly,4
pressing,5
testified,2
concern,25
convert,1
thankfully,1
consented,2
acquaint,2
clothes,13
viii,1
o’clock,5
retired,3
dress,5
halfpast,1
summoned,5
poured,1
distinguishing,2
disliked,4
restored,2
enjoyment,13
anxiety,19
intruder,1
believed,37
indolent,1
cards,5
prefer,6
dish,5
ragout,1
directly,21
abusing,3
indeeda,1
impertinence,7
style,10
walker,3
wild”,2
nonsensical,3
scampering,1
hair,2
untidy,1
blowzy”,1
petticoat,3
inches,1
mud,1
gown,5
hide,2
office”,1
louisa”,1
lost,29
escaped,5
notice”,1
sure”,9
exhibition”,1
whatever,30
abominable,6
sort,37
independence,6
countrytown,1
decorum”,1
shows,4
pleasing”,1
whisper,9
adventure,2
affected,20
eyes”,2
brightened,1
exercise”,1
excessive,4
bennetshe,1
girland,1
uncle,57
cheapside”,2
capital”,1
laughed,11
heartily,10
uncles,2
fill,1
jot,1
materially,5
lessen,4
world”,3
assent,1
indulged,2
mirth,2
expense,8
friend’s,8
relations,22
renewal,7
tenderness,3
leaving,18
diningparlour,4
coffee,6
poorly,3
asleep,1
stairs,7
drawingroom,17
loo,2
invited,11
below,5
cards”,2
singular”,1
“despises,1
else”,4
deserve,8
censure”,1
things”,1
nursing,1
pleasure”,3
well”,9
thanked,7
lying,1
fetch,3
benefit,5
idle,8
fellow,4
into”,1
assured,28
suit,7
astonished”,1
good”,4
generations”,1
yourselfyou,1
buying,1
books”,2
comprehend,18
these”,1
“neglect,1
charles,5
pemberley”,4
may”,1
advise,8
model,2
derbyshire”,2
buy,4
sell,1
possibilities,1
charles”,1
caroline,11
imitation”,1
laying,2
wholly,26
aside,4
cardtable,2
stationed,3
observe,10
game,7
grown,3
spring”,2
am”,3
height,3
taller”,1
pianoforte,5
exquisite”,1
amazing,1
patience,9
“all,3
tables,6
cover,1
screens,1
net,1
purses,1
spoken,16
informed,10
accomplished”,2
extent,7
accomplishments”,1
“has,6
deserves,3
netting,1
purse,1
covering,2
screen,2
agreeing,3
estimation,5
boast,10
knowing,27
halfadozen,1
range,2
“nor,1
“then”,1
certainly”,2
faithful,3
assistant,1
esteemed,7
surpass,1
thorough,3
music,10
drawing,3
languages,1
besides,11
voice,22
deserved”,1
possess”,2
substantial,2
improvement,9
extensive,4
reading”,1
longer,42
any”,1
possibility,13
this”,13
capacity,1
elegance,9
describe,7
united”,1
injustice,4
implied,1
protesting,4
bitter,2
complaints,4
inattention,2
forward,28
“eliza,1
undervaluing,1
daresay,2
succeeds,1
paltry,2
device,1
art”,1
“undoubtedly”,2
chiefly,10
arts,3
condescend,1
employ,2
captivation,1
bears,2
cunning,1
despicable”,1
jones’s,2
sent,19
service,6
recommended,9
physicians,1
comply,3
jones,2
decidedly,4
uncomfortable,7
miserable,6
solaced,1
wretchedness,2
duets,1
supper,11
relief,13
housekeeper,14
directions,7
sister’s,37
housemaid,2
amendment,2
desiring,2
contents,8
quickly,4
complied,3
apparent,3
illness,1
alarming,5
recovering,5
health,18
remove,2
listen,12
daughter’s,6
carried,8
advisable,6
trespass,2
kindness”,1
“removed”,1
removal”,1
madam”,9
civility,41
remains,5
profuse,1
acknowledgments,2
become,9
suffers,1
exception,1
sweetest,3
prospect,14
gravel,3
hurry,10
lease”,1
“whatever,3
hurry”,1
resolve,2
yesi,1
perfectly”,1
pitiful”,1
follow,11
intricate,2
estimable,2
yours”,6
“lizzy”,4
run,11
wild,9
suffered,8
before”,5
studier,1
advantage”,1
country”,4
subjects,10
move,3
confined,5
unvarying,1
society”,2
alter,1
ever”,8
offended,9
mentioning,7
gained,11
victory,1
triumph,10
shops,1
places,5
advantages,8
either”,3
gentleman”,2
“seemed,1
mamma,7
blushing,1
mistook,1
variety,7
neighbourhoods,1
fourandtwenty,1
families”,1
directed,9
expressive,2
smile,29
bingleyis,1
genteel,3
breeding,3
important,10
matter”,5
mincepies,1
pity,9
friend”,4
yes,19
envied,2
child,12
janeone,1
trust,15
partiality,13
gardiner’s,13
sisterinlaw,2
wrote,21
verses,1
were”,1
affection”,2
overcome,9
efficacy,1
poetry,2
driving,4
food,1
“of,7
stout,2
nourishes,1
strong,19
thin,5
inclination,20
sonnet,1
starve,1
ensued,2
tremble,1
lest,8
exposing,5
repeating,6
apology,6
troubling,1
unaffectedly,2
performed,6
graciousness,1
ordered,8
signal,2
whispering,3
tax,2
wellgrown,1
animal,1
selfconsequence,2
uncle’s,9
dinners,2
assurance,14
abruptly,2
reminded,6
adding,5
shameful,2
attack,4
ear,1
engagement,18
recovered,6
name,31
yesit,1
wait,17
shame,10
departed,2
relations’,2
remarks,7
prevailed,15
censure,4
witticisms,1
invalid,1
slowly,2
mend,5
writing,12
seated,15
watching,8
progress,5
repeatedly,9
messages,1
piquet,1
needlework,1
amused,6
attending,9
perpetual,1
commendations,2
handwriting,1
evenness,2
unconcern,3
praises,2
formed,16
unison,1
letter”,6
write,38
fast”,1
slowly”,1
odious,3
lot,2
“pray,5
desire”,1
pen,3
pens,1
“thank,3
youbut,1
own”,3
contrive,3
even”,1
“tell,2
harp,1
grantley’s”,1
defer,3
justice”,2
january,2
determine”,2
rule,2
caroline”,1
“because,4
syllables,1
“charles,1
writes,1
careless,2
imaginable,2
leaves,2
blots,1
rest”,1
ideas,12
flow,4
rapidly,2
convey,2
correspondents”,1
humility,5
“must,1
disarm,1
reproof”,1
“nothing,3
deceitful”,1
“than,2
carelessness,2
indirect,2
boast”,1
call,27
piece,5
modesty”,2
proceeding,6
rapidity,4
execution,3
prized,1
possessor,2
imperfection,1
resolved,30
panegyric,2
laudable,1
precipitance,2
undone,1
“nay”,2
foolish,6
assume,3
needless,3
celerity,1
dependent,3
mounting,1
‘bingley,1
week’,1
ityou,1
goand,1
month”,2
proved,17
justice,13
exceedingly,25
gratified”,1
converting,1
sweetness,5
intend,2
flat,1
denial,3
ride,3
fast,6
could”,1
“would,2
rashness,1
atoned,1
obstinacy,2
adhering,1
matterdarcy,1
allowing,7
according,8
representation,4
delay,6
offering,3
propriety”,1
yield,4
readilyeasilyto,1
conviction,16
requester,1
waiting,9
arguments,5
occurs,1
discuss,2
thereupon,2
ordinary,3
complying,3
argued,1
arrange,1
precision,1
appertain,1
intimacy,10
subsisting,2
parties”,1
means”,1
particulars,20
forgetting,2
comparative,2
size,4
weight,6
deference,5
awful,2
sunday,9
checked,5
warmly,8
resented,3
indignity,2
expostulation,1
disputes,1
thankful,9
ask”,4
sacrifice,8
indulgence,6
alacrity,5
polite,5
lead,7
earnestly,11
negatived,1
sang,1
musicbooks,1
lay,5
frequently,22
reprehensible,3
supposition,4
pain,28
approbation,7
italian,1
songs,1
seize,1
reel”,1
determine,11
‘yes’,1
despising,2
overthrowing,1
schemes,7
cheating,1
premeditated,1
reel,1
despise,2
dare”,2
affront,4
amazed,5
archness,1
bewitched,1
inferiority,3
jealous,3
recovery,3
rid,5
provoke,5
disliking,1
guest,5
planning,2
alliance,3
hope”,4
shrubbery,4
hints,4
takes,6
holding,2
compass,1
cure,1
running,9
check,4
bordering,3
conceit,4
possesses”,1
domestic,7
felicity”,2
portraits,2
placed,9
greatuncle,1
profession,6
catch,4
eyelashes,1
copied”,1
walk”,1
confusion,9
abominably,4
“running,1
telling,7
disengaged,3
arm,4
path,4
wide,3
avenue”,1
laughingly,2
charmingly,2
grouped,1
picturesque,1
goodbye”,1
ran,13
gaily,2
rejoicing,4
rambled,1
couple,8
xi,1
welcomed,7
professions,6
powers,6
entertainment,6
accuracy,1
relate,11
anecdote,2
advanced,5
steps,5
congratulation,1
bow,11
glad”,1
diffuseness,1
salutation,4
suffer,12
fireplace,2
farther,13
opposite,11
corner,1
tea,12
cardtablebut,1
obtained,4
petition,1
rejected,4
justify,6
stretch,2
sofas,1
sleep,3
principally,5
bracelets,1
rings,1
perpetually,3
win,1
chosen,8
volume,2
yawn,2
tires,1
yawned,1
threw,9
cast,2
quest,7
bye,2
consult,3
begins,4
nicholls,1
soup,2
balls,8
insufferably,1
tedious,1
usual,34
process,1
“much,1
aimed,1
inflexibly,1
studious,1
desperation,1
effort,5
example,5
refreshing,2
attitude”,1
awake,2
novelty,5
quarter,9
unconsciously,3
choosing,1
joining,5
interfere,1
meaningand,1
surest,1
disappointing,3
persevered,1
requiring,5
explanation,7
explaining,3
method,5
other’s,1
confidence,11
affairs,7
conscious,3
completely,7
shocking”,1
punish,3
speech”,2
inclination”,1
plague,3
himlaugh,1
done”,5
taught,8
calmness,4
presence,6
defy,4
laughter,2
expose,7
attempting,4
hug,1
at”,1
dearly,3
laugh”,1
wisest,6
mennay,1
actionsmay,1
joke”,1
“certainly”,2
ridicule,3
wise,5
whims,2
inconsistencies,1
divert,1
precisely,1
without”,1
ridicule”,2
weakness,5
pridewhere,1
mindpride,1
regulation”,1
examination,3
presume”,1
result”,1
defect,4
owns,1
disguise”,1
“no”,4
pretension,1
faults,4
vouch,3
convenience,3
vices,1
offences,3
puffed,1
resentful,2
“implacable,1
tendency,3
evil,13
overcome”,1
everybody”,3
wilfully,4
misunderstand,3
music”,1
tired,4
“louisa,1
waking,1
hurst”,1
moments’,1
recollection,11
paying,4
agreement,3
remaining,8
tuesday,12
propitious,1
postscript,3
pressed,2
staying,10
positively,2
resolvednor,1
fearful,5
intruding,2
needlessly,1
borrow,2
communication,10
excited,11
morrow,5
proposed,5
jealousy,4
exceeded,2
master,22
sorrow,4
herthat,1
firm,3
welcome,12
attracted,2
uncivil,5
wisely,4
careful,4
sign,2
himnothing,1
elevate,1
influencing,1
suggested,5
material,9
confirming,2
crushing,1
saturday,15
adhered,1
conscientiously,1
separation,8
embracing,2
tenderly,2
shook,11
hands,7
liveliest,3
cordially,3
wondered,8
trouble,20
laconic,1
circle,7
bass,1
extracts,1
observations,3
threadbare,2
preceding,4
wednesday,9
lately,11
flogged,1
hinted,1
“who,4
happen,11
stranger”,1
janeyou,1
dropped,6
thisyou,1
sly,4
butgood,1
lord,11
fish,5
ring,5
bell,4
moment”,4
roused,7
questioned,3
explained“about,1
month,6
dead,5
pleases”,2
bear,25
hardest,1
attempted,5
reach,7
rail,1
bitterly,2
cared,7
iniquitous,1
guilt,3
inheriting,2
softened,6
quarrelling,3
filial,2
scruples,4
hear”,3
“hunsford,1
westerham,1
kent,12
15th,1
october,1
disagreement,1
honoured,9
uneasiness,7
heal,1
breach,3
kept,17
doubts,2
fearing,3
disrespectful,1
memory,8
terms,20
variance”‘there,1
bennet’“my,1
ordination,1
easter,2
patronage,4
honourable,7
widow,3
lewis,3
bounty,1
beneficence,1
rectory,1
demean,1
grateful,13
ladyship,30
perform,4
rites,1
ceremonies,1
instituted,1
church,11
clergyman,8
moreover,11
promote,4
establish,1
blessing,4
peace,6
overtures,1
commendable,1
kindly,7
overlooked,3
reject,4
olive,2
concerned,18
injuring,1
apologize,4
readiness,4
hereafter,3
satisfaction,27
november,5
18th,1
hospitality,3
se’nnight,1
objecting,3
respectful,1
wellwisher,1
“william,1
collins”,7
peacemaking,1
folded,1
conscientious,1
indulgent,1
discourage,2
“though,4
difficult”,1
atonement,1
thinks,4
credit”,1
christening,1
burying,1
parishioners,1
oddity,1
pompous,3
apologizing,4
reverse,1
servility,1
promises,3
composition”,1
expressed”,1
writer,3
scarlet,2
weeks,15
collins’s,23
illwill,3
preparing,6
punctual,3
politeness,15
heavylooking,1
fiveandtwenty,2
stately,3
complimented,3
fame,1
fallen,3
hearers,1
quarrelled,1
oddly”,1
allude,1
estate”,1
affair,14
confess,15
estates,3
entailed”,1
madam,11
hardship,1
fair,22
cousins,11
appearing,6
precipitate,2
prepared,10
acquainted”,1
summons,3
hall,12
diningroom,8
furniture,10
praised,2
viewing,3
future,15
begged,8
cookery,1
owing,4
asperity,1
cook,1
kitchen,1
pardon,11
displeased,3
withdrawn,3
started,4
shine,1
patroness,6
bourgh’s,4
eloquent,2
elevated,2
solemnity,5
aspect,6
witnessed,4
ranksuch,1
affability,4
condescension,7
experienced,4
graciously,1
discourses,1
preaching,3
rosings,46
pool,1
quadrille,4
reckoned,1
condescended,5
humble,9
parsonage,16
approved,3
alterations,1
vouchsafed,1
suggest,2
herselfsome,1
shelves,1
closets,1
upstairs,15
garden,12
stands,2
abode,8
separated,3
ladyship’s,12
residence”,1
family”,7
heiress,1
property”,1
“ah”,1
shaking,2
handsomest,4
marks,2
sickly,4
constitution,1
superintended,1
resides,1
condescends,1
drive,4
phaeton,4
ponies”,1
presented,2
court”,1
“her,3
indifferent,14
unhappily,3
prevents,1
deprived,3
brightest,2
ornament,1
acceptable,5
duchess,1
adorned,3
peculiarly,3
bound,1
pay”,1
properly”,1
flattering,4
arise,7
suggesting,1
arranging,2
adapted,3
unstudied,1
possible”,5
fully,5
absurd,5
keenest,3
maintaining,1
resolute,1
glance,7
teatime,1
dose,1
invite,6
ht,1
feb,1
94,1
assented,2
produced,11
beholding,3
announced,3
circulating,1
begging,2
exclaimed,8
deliberation,4
“fordyce’s,1
sermons”,2
gaped,1
monotonous,1
pages,1
talks,1
richard,1
hire,1
denny,12
bid,1
hold,7
interested,8
stamp,1
amazes,1
advantageous,2
instruction,2
importune,1
cousin”,3
antagonist,1
backgammon,2
challenge,1
amusements,3
apologized,2
civilly,3
interruption,10
occur,4
resume,1
bore,9
resent,4
assisted,4
guidance,2
illiterate,1
miserly,1
belonged,3
universities,1
forming,4
useful,6
subjection,1
originally,2
counteracted,2
selfconceit,1
weak,6
living,23
consequential,1
unexpected,7
prosperity,3
veneration,1
mingling,1
rector,3
obsequiousness,1
income,10
reconciliation,2
represented,7
amendsof,1
atonementfor,1
father’s,19
eligibility,1
suitableness,3
disinterested,3
vary,3
lovely,3
confirmed,3
notions,3
seniority,1
alteration,7
hour’s,4
beginning,12
parsonagehouse,2
naturally,12
avowal,3
mistress,9
amid,1
complaisant,1
caution,3
sayshe,1
answerbut,1
prepossessionher,1
mentionshe,1
incumbent,4
engaged”,2
elizabethand,1
donedone,1
treasured,1
trusted,6
attend,5
nominally,1
largest,1
folios,1
cessation,1
doings,2
discomposed,2
tranquillity,5
free,7
prompt,1
fitted,6
nothings,1
assents,1
wandering,3
street,17
bonnet,3
muslin,3
recall,2
officer,8
concerning,5
inquire,9
stranger’s,1
led,18
across,6
pretence,2
fortunately,2
pavement,1
spot,7
entreated,2
permission,6
commission,7
corps,6
conversationa,1
correct,2
unassuming,2
riding,1
civilities,6
spokesman,1
corroborated,1
fix,3
arrested,2
happening,2
effect,17
moments,10
hata,1
minute,9
bows,2
throwing,2
loudly,2
seconding,1
fetched,1
shopboy,1
claimed,3
intrusion,3
justified,5
relationship,10
awed,2
excess,2
contemplation,4
exclamations,3
lieutenant’s,1
shire,12
streetand,1
occupation,1
unluckily,3
windows,6
“stupid,1
fellows”,1
philipses,2
nice,5
comfortable,12
noisy,3
lottery,3
tickets,3
hot,2
delights,2
cheering,2
mutual,5
apologies,2
unwearying,1
defended,1
admiring,2
utmost,10
pointedly,1
included,2
utterly,1
attributed,5
people’s,4
steadily,3
resisted,1
coach,8
conveyed,2
suitable,3
seats,2
around,2
apartment,4
summer,18
gratification,1
understood,11
proprietor,3
catherine’s,16
drawingrooms,1
chimneypiece,1
cost,4
eight,8
force,8
housekeeper’s,1
describing,2
grandeur,4
mansion,2
digressions,1
improvements,1
receiving,20
until,1
listener,3
resolving,7
retail,1
neighbours,10
examine,2
imitations,1
china,1
mantelpiece,3
interval,4
approach,7
unreasonable,7
creditable,2
broadfaced,1
stuffy,1
breathing,1
port,1
finally,7
fell,2
rainy,1
season,4
commonest,1
dullest,1
topic,1
speaker,1
rivals,1
sink,3
insignificance,3
intervals,3
watchfulness,2
abundantly,3
muffin,1
card,5
whist,5
present”,1
improve,3
compliance,1
engrossing,1
talker,1
eager,13
bets,1
exclaiming,4
prizes,1
demands,1
willing,6
dared,13
unexpectedly,3
relieved,8
hesitating,1
“about,1
drop,3
understand”,2
“yes”,3
per,3
annum,2
capable,18
myselffor,1
infancy”,1
assertion,3
disagreeable”,3
opinion”,3
qualified,2
impartial,3
astonishand,1
anywhere,1
disgusted,3
anyone”,1
sorry”,2
estimated,1
deserts,2
blinded,2
frightened,8
imposing,1
illtempered,1
wonder”,1
“whether,2
longer”,2
plans,2
noit,1
driven,5
avoiding,2
proclaim,1
worlda,1
illusage,2
painful,14
breathed,1
truest,1
soul,2
tender,4
recollections,8
scandalous,3
verily,1
disgracing,2
father”,4
increase,6
topics,1
intelligible,4
constant,12
enter,12
quarters,2
procured,4
solitude,3
employment,6
military,1
circumstances,26
eligible,7
professioni,1
“indeed”,3
“yesthe,1
bequeathed,1
godfather,1
attached,11
provide,4
amply,2
elsewhere”,2
“good,9
heavens”,1
disregarded,1
legal,1
redress”,1
informality,1
bequest,1
law,4
doubted,8
itor,1
treat,5
conditional,1
assert,5
forfeited,1
extravagance,4
imprudence,10
became,16
accuse,4
warm,6
unguarded,4
freely,3
hates,2
publicly,3
disgraced”,1
“some,2
bebut,1
what”,1
induced,2
behave,2
cruelly”,1
mea,1
attribute,4
measure,5
borne,5
irritated,1
stoodthe,1
thisthough,1
himi,1
fellowcreatures,2
suspect,4
descending,2
malicious,2
revenge,2
inhumanity,1
minutes’,5
boasting,1
implacability,1
resentments,1
unforgiving,2
dreadful”,2
subject”,4
godson,2
amiable”,1
contented,4
with“and,1
childhood,1
closest,2
manner”,4
inmates,1
sharing,2
parental,1
devoted,3
confidential,1
obligations,3
active,4
superintendence,1
voluntary,3
providing,1
debt,4
strange”,2
dishonestfor,1
dishonesty,1
wonderful”,1
nearer,5
virtue,9
stronger,6
impulses,1
liberal,4
money,23
assist,7
tenants,2
relieve,2
disgrace,10
degenerate,1
brotherly,2
guardian,2
brothers”,1
brothervery,1
sixteen,7
superintends,1
education”,2
pauses,2
trials,1
reverting,1
sweettempered,1
“probably,1
abilities,6
conversible,1
equals,1
prosperous,2
liberalminded,1
sincere,10
agreeableallowing,1
figure”,1
breaking,2
players,2
gathered,2
station,2
gravity,4
trifle,5
thingsand,1
shillings,1
necessity,11
regarding,1
matters”,1
wickham’s,31
intimately,2
bourgh”,3
anne,4
existence,2
yesterday”,1
estates”,1
useless,6
selfdestined,1
“speaks,1
misleads,1
arrogant,1
degree”,1
dictatorial,1
insolent,4
reputation,3
derives,1
authoritative,2
nephew,18
everyone,5
class”,1
noise,2
gracefully,1
incessantly,2
won,4
losses,1
enumerating,5
dishes,1
crowded,3
manage,3
stopped,6
xvii,1
veracity,2
endured,4
unkindness,1
defend,3
accident,6
both”,3
“been,1
deceived,13
misrepresented,1
alienated,1
blame,15
behalf,4
somebody”,1
“laugh,1
disgraceful,5
treating,1
mannerone,1
oh,26
no”,4
imposed,3
invent,1
ceremony,5
contradict,2
looks”,1
indeedit,1
distressing,6
pardonone,1
certainty,8
pointthat,1
rising,7
hurrying,3
ceremonious,3
pictured,1
confirmation,4
anticipated,4
depended,4
satisfy,11
disinclination,2
mornings,3
engagements,12
claims,6
profess,1
recreation,1
unnecessarily,1
evening’s,2
scruple,4
dreading,1
rebuke,1
archbishop,1
venturing,1
soliciting,2
disrespect,2
insteadher,1
liveliness,4
timed,1
perforce,1
delayed,6
grace,1
worthy,2
assisting,2
visitors,14
increasing,9
vivacity,2
dispute,2
prepare,6
pitiable,3
succession,1
sought,5
shoeroses,1
proxy,1
trial,2
suspended,2
friday,1
endurable,1
cluster,1
coats,1
occurred,14
dressed,6
conquest,1
unsubdued,1
trusting,2
arose,5
dreadful,9
suspicion,9
purposely,6
omitted,1
bingleys’,1
absolute,4
significant,3
unheard,1
answerable,2
surmise,1
displeasure,6
disappointment,14
approached,6
forbearance,6
illhumour,3
surmount,1
provoked,3
dwell,2
griefs,1
transition,1
oddities,1
distress,16
mortification,6
awkward,10
solemn,5
misery,15
release,1
ecstasy,2
refreshment,5
fret,3
console,9
“heaven,1
forbid,3
evil”,1
recommenced,1
cautioning,2
unpleasant,8
dignity,5
neighbours’,1
amazement,10
break,2
couples”,1
byandby,1
silent”,1
dancing”,1
“sometimes,1
arranged,2
consulting,2
gratifying,6
“both”,1
similarity,2
unsocial,1
taciturn,1
amaze,1
handed,3
posterity,1
éclat,1
proverb”,1
striking,3
resemblance,7
undoubtedly”,1
decide,4
performance”,1
affirmative,2
resist,4
temptation,7
acquaintance”,4
deeper,3
hauteur,2
overspread,3
blaming,3
constrained,1
blessed,4
insure,2
retaining,2
certain”,2
friendship”,1
emphasis,1
desirous,7
changing,3
perceiving,4
courtesy,5
belong,3
circles,1
congratulations,12
appeal,2
darcybut,1
interrupt,5
thank,16
detaining,2
bewitching,1
upbraiding,1
allusion,5
strike,5
forcibly,4
shortly,12
“sir,2
imagine”,2
“booksoh,1
noi,1
compare,1
opinions”,1
“noi,2
occupies,1
scenesdoes,1
always”,1
wandered,2
forgavethat,1
unappeasable,1
created”,1
prejudice”,1
judging,2
properly,7
first”,1
tend”,1
“merely,1
endeavouring,5
trying,6
success”,1
accounts,3
puzzle,2
exceedingly”,2
believe”,2
reports,1
reflect,5
opportunity”,1
suspend,1
breast,2
anger,13
disdain,6
forgot,5
communications,2
steward,5
implicit,1
assertions,3
using,1
infamous,4
including,2
presume,1
favourite’s,1
descent,3
same”,1
angrily,1
pardon”,2
sneer,1
“excuse,1
interference,12
meant”,1
“insolent,1
girl”,2
wilful,3
ignorance,7
malice,2
undertaken,1
glow,3
marked,13
occurrences,4
enemies,1
fairest,1
probity,1
deserved,6
imprudent,11
regard”,2
living”,1
recollect,6
believes,1
conditionally,2
only”,1
sincerity”,1
assurances,9
defence,3
unacquainted,1
discourse,7
sentiment,8
modest,2
heighten,1
pleasantness,3
exultation,1
singular,1
honours,2
withperhapsa,1
respects,6
total,3
plead,2
apology”,1
se’nnight”,1
dissuade,1
addressing,3
ceased,6
matters,7
scope,1
permit,1
laity,1
regulate,1
clergy,1
clerical,1
